priority,topic,modality,tag,idx,trigger,stem,description,search_terms,svg_feasible,svg,error
1,Pain Management & Palliative Care,Fundus/Eye,2021-Jun,146,פונדוס,מה נכון לגבי כיב קיבה?,"This question appears to be about gastric ulcers (in Hebrew) but requests fundus/eye imaging, likely asking about retinal findings in a patient on medications for peptic ulcer disease or related conditions.",normal fundus photograph | optic disc normal retina | healthy fundus examination,False,,
1,Pain Management & Palliative Care,Smear/Histopath,2025-Jun,747,משטח דם פריפרי מראה,"בן 58 מאושפז בשל תלונות על עייפות, הזעות לילה וירידה במשקל. בבדיקה הגופנית נמצאה הגדלה משמעותית של הטחול ללא לימפאדנופתיה. בדיקות מעבדה מראות המוגלובין של 10.5 גרם/ד""ל, ספירת טסיות","Peripheral blood smear showing marked leukocytosis with left shift including myelocytes, metamyelocytes, and basophilia characteristic of chronic myeloid leukemia (CML)",CML peripheral blood smear | chronic myeloid leukemia blood smear | CML myelocytes basophils smear | chronic myeloid leukemia left shift | CML peripheral smear granulocytes,False,,
1,Hypertension,CT/MRI,2024-May,547,CT בטן - 2 אוטמים במראה,בן 45 עם רקע של SLE ותסמונת APLA עם אירוע של DVT בעברו. מפסיק את הטיפול הקבוע ב-warfarin למשך 5 ימים לצורך ביצוע גסטרוסקופיה. יום לאחר הפעולה מתלונן על כאבי בטן עזים ובבדיקה גופנית,CT scan showing acute mesenteric vein thrombosis with bowel wall thickening and edema in a patient with antiphospholipid syndrome who stopped anticoagulation,mesenteric vein thrombosis CT | superior mesenteric vein thrombosis | bowel ischemia mesenteric venous thrombosis | mesenteric venous thrombosis antiphospholipid syndrome,False,,
1,Nephrology — AKI & CKD,CXR,Harrison,866,צילום חזה מראה,מטופל עם דלקת ריאות חדה מגיע לבדיקה. בבדיקה גופנית: קול נשימה מופחת בבסיס הריאה השמאלית וכאב בחזה הוגבר בנשימה עמוקה. צילום חזה מראה אופציויות דקות. מה הפתולוגיה הסבירה ביותר?,Chest X-ray showing left-sided pleural effusion with blunting of the costophrenic angle and possibly pneumonic consolidation in the left lower lobe.,left pleural effusion chest x-ray | parapneumonic pleural effusion CXR | left costophrenic angle blunting pneumonia | pleural effusion with pneumonia radiograph,False,,
1,Pain Management & Palliative Care,Fundus/Eye,2020,64,פונדוס,"בן 61, ידוע על הפטיטיס C מגיל 10, מגיע למיון עקב הקאות דמיות ביממה אחרונה. בבדיקתו יש מיימת ובמעבדה המוגלובין 10 גר׳/ד״ל. בגסטרוסקופיה יש שלוש דליות גדולות. מה נכון לגבי הטיפול בדל",Fundus photograph showing pale optic disc and retinal changes consistent with severe anemia or retinal hemorrhages that may be seen in a patient with cirrhosis and portal hypertension.,anemia fundus pale retina | roth spots fundus hemorrhage | retinal hemorrhage anemia | pale fundus severe anemia | anemic retinopathy fundus,False,,
1,Pain Management & Palliative Care,Fundus/Eye,2022-Jun,275,בדיקת קרקעית עיניים,"בן 80, מגיע למלר״ד בשל בלבול כשבבדיקה לחץ דם 220/110 ממ״כ ביד ימין ו-100/60 ממ״כ ביד שמאל. מה הצעד המידי הבא במצב זה?","Fundus photograph showing hypertensive retinopathy with papilledema, flame hemorrhages, cotton-wool spots, and arteriovenous nicking in a patient with hypertensive emergency",hypertensive retinopathy grade 4 | papilledema hypertensive emergency | malignant hypertension fundus | hypertensive encephalopathy retinopathy | flame hemorrhages cotton wool spots fundus,False,,
1,Pain Management & Palliative Care,Fundus/Eye,2022-Jun,333,פונדוס,"בן 50, ידוע על הפטיטיס C, מגיע למלר״ד עקב הקאות דמיות ביממה אחרונה. בבדיקתו יש מיימת ובמעבדה המוגלובין 10 גר׳/ד״ל. בגסטרוסקופיה נמצאו שלוש דליות גדולות. מה נכון לגבי קשירת הדליות, ","Fundus photograph showing hypertensive retinopathy or diabetic retinopathy changes, though the clinical case describes a patient with Hepatitis C, ascites, and esophageal varices suggesting portal hypertension.",esophageal varices endoscopy | gastric varices endoscopy | portal hypertension varices | large esophageal varices banding,False,,
1,Nephrology — AKI & CKD,CT/MRI,2025-Jun,718,CT חזה מדגים,"בן 70, פנסיונר של מספנות (נמל חיפה), מעשן. מתלונן על קוצר נשימה מזה מספר שנים בבדיקתו ללא קוצר נשימה במנוחה אך מתנשם לאחר מאמצים קלים, סטורציה 92% באוויר החדר, חרחורים אינספירטורים",CT chest showing bilateral pleural plaques and/or diffuse pleural thickening consistent with asbestos exposure in a retired shipyard worker with interstitial lung disease.,asbestosis CT chest | pleural plaques CT | asbestos-related pleural thickening | shipyard worker pneumoconiosis CT | bilateral pleural plaques HRCT,False,,
1,Nephrology — AKI & CKD,CT/MRI,2022-Jun,319,הדמיית בטן,"בת 60, עם שחמת הכבד על רקע כבד שומני. אושפזה עקב חום, כאב בטן ומיימת. בספירת הדם יש לויקוציטוזיס ובניקור המיימת 350 נויטרופילים ב-µL ובתרבית מהנוזל E.coli, Enterococcus ו-S. virida",CT abdomen showing ascites with peritoneal enhancement and thickening consistent with spontaneous bacterial peritonitis in a cirrhotic patient.,spontaneous bacterial peritonitis CT | SBP ascites CT abdomen | peritoneal enhancement ascites cirrhosis CT | infected ascites CT imaging,False,,
1,Neurology & Stroke,CT/MRI,Harrison,1074,CT חזה מראה,"אישה בת 40 עם ptosis דו-צדדי, diplopia וחולשה שמחמירה במהלך היום. CT חזה מראה מסה במדיאסטינום קדמי. מה השילוב הטיפולי המתאים?",CT chest showing anterior mediastinal mass consistent with thymoma in a patient with myasthenia gravis,thymoma CT chest | anterior mediastinal mass CT | thymic mass myasthenia gravis | thymoma mediastinum CT,False,,
