priority,topic,modality,tag,idx,trigger,stem
1,Pain Management & Palliative Care,Fundus/Eye,2020,64,פונדוס,"בן 61, ידוע על הפטיטיס C מגיל 10, מגיע למיון עקב הקאות דמיות ביממה אחרונה. בבדיקתו יש מיימת ובמעבדה המוגלובין 10 גר׳/ד״ל. בגסטרוסקופיה יש שלוש דליות גדולות. מה נכון לגבי הטיפול בדל"
1,Pain Management & Palliative Care,Fundus/Eye,2021-Jun,146,פונדוס,מה נכון לגבי כיב קיבה?
1,Pain Management & Palliative Care,Fundus/Eye,2022-Jun,275,בדיקת קרקעית עיניים,"בן 80, מגיע למלר״ד בשל בלבול כשבבדיקה לחץ דם 220/110 ממ״כ ביד ימין ו-100/60 ממ״כ ביד שמאל. מה הצעד המידי הבא במצב זה?"
1,Pain Management & Palliative Care,Fundus/Eye,2022-Jun,333,פונדוס,"בן 50, ידוע על הפטיטיס C, מגיע למלר״ד עקב הקאות דמיות ביממה אחרונה. בבדיקתו יש מיימת ובמעבדה המוגלובין 10 גר׳/ד״ל. בגסטרוסקופיה נמצאו שלוש דליות גדולות. מה נכון לגבי קשירת הדליות, "
1,Pain Management & Palliative Care,Smear/Histopath,2025-Jun,747,משטח דם פריפרי מראה,"בן 58 מאושפז בשל תלונות על עייפות, הזעות לילה וירידה במשקל. בבדיקה הגופנית נמצאה הגדלה משמעותית של הטחול ללא לימפאדנופתיה. בדיקות מעבדה מראות המוגלובין של 10.5 גרם/ד""ל, ספירת טסיות"
1,Pain Management & Palliative Care,ECG,Harrison,1114,הולטר,"גבר בן 55 עם התעלפות בזמן מאמץ. אק""ג תקין במנוחה. מה הבדיקה המתאימה ביותר?"
1,Nephrology — AKI & CKD,CT/MRI,2022-Jun,319,הדמיית בטן,"בת 60, עם שחמת הכבד על רקע כבד שומני. אושפזה עקב חום, כאב בטן ומיימת. בספירת הדם יש לויקוציטוזיס ובניקור המיימת 350 נויטרופילים ב-µL ובתרבית מהנוזל E.coli, Enterococcus ו-S. virida"
1,Nephrology — AKI & CKD,CT/MRI,2025-Jun,718,CT חזה מדגים,"בן 70, פנסיונר של מספנות (נמל חיפה), מעשן. מתלונן על קוצר נשימה מזה מספר שנים בבדיקתו ללא קוצר נשימה במנוחה אך מתנשם לאחר מאמצים קלים, סטורציה 92% באוויר החדר, חרחורים אינספירטורים"
1,Nephrology — AKI & CKD,CXR,Harrison,866,צילום חזה מראה,מטופל עם דלקת ריאות חדה מגיע לבדיקה. בבדיקה גופנית: קול נשימה מופחת בבסיס הריאה השמאלית וכאב בחזה הוגבר בנשימה עמוקה. צילום חזה מראה אופציויות דקות. מה הפתולוגיה הסבירה ביותר?
1,Hypertension,CT/MRI,2024-May,547,CT בטן - 2 אוטמים במראה,בן 45 עם רקע של SLE ותסמונת APLA עם אירוע של DVT בעברו. מפסיק את הטיפול הקבוע ב-warfarin למשך 5 ימים לצורך ביצוע גסטרוסקופיה. יום לאחר הפעולה מתלונן על כאבי בטן עזים ובבדיקה גופנית
1,Hypertension,Smear/Histopath,Harrison,1041,בדיקה מיקרוסקופית,"חולה עם אנמיה המוליטית. DAT חיובי, ספירולות בבדיקה מיקרוסקופית ותרומבוציטופניה. איזה אבחנה הכי סבירה?"
1,Cardiology — ACS & Coronary Disease,ECG,2020,69,תרשים אק,"בת 58, פונה בשל קוצר נשימה פרוגרסיבי כשברקע יל""ד. בבדיקה: השמנת יתר, לחץ הדם 160/80 מ""מ כספית, גודש ורידי צווארי ניכר ובצקות היקפיות. בתרשים אק""ג: מקצב סינוס והיפרטרופיה של חדר שמא"
1,Cardiology — ACS & Coronary Disease,ECG,2025-Jun,715,תרשים אק,"בן 65, ברקע אי ספיקת לב סיסטולית על רקע מחלת לב איסכמית. בתרשים אק""ג: מקצב סינוס עם CLBBB. לאור התמשכות סימפטומים למרות GDMT עובר השתלת CRTD. מה אחוז הקיצוב הרצוי?"
1,Cardiology — ACS & Coronary Disease,CXR,2025-Jun,768,צילום חזה מדגים,"בת 82 ברקע HFpEF ו-CKD פרה-דיאליטי. מאושפזת מזה שבוע במחלקה פנימית עקב קוצר נשימה ובצקות ללא הטבה תחת טיפול מקסימלי במשתנים במתן תוך ורידי. למטופלת אין חום, מתנשמת. ובבדיקות מעבדה "
1,Neurology & Stroke,CT/MRI,Harrison,991,CT מוח מראה,אישה בת 45 מגיעה עם כאב ראש חד פתאומי חמור. CT מוח מראה דימום תוך מוחי בפריטו-אוקסיפיטלי. לחץ דם 185/110. מה יעד לחץ הדם הנכון?
1,Neurology & Stroke,CT/MRI,Harrison,994,CT חזה מראה,"אישה בת 28 עם חולשה עפעפיים בערב, קושי בלעה, חולשה פרוקסימלית. נוגדני AChR חיוביים. CT חזה מראה מסה מדיאסטינלית קדמית. מה הטיפול הראשוני?"
1,Neurology & Stroke,CT/MRI,Harrison,1074,CT חזה מראה,"אישה בת 40 עם ptosis דו-צדדי, diplopia וחולשה שמחמירה במהלך היום. CT חזה מראה מסה במדיאסטינום קדמי. מה השילוב הטיפולי המתאים?"
1,Oncologic Emergencies,Smear/Histopath,Harrison,954,ביופסיה מראה,"חולה בן 40 עם צליאק מתלונן על פריחה גרדנית עזה על המרפקים, הברכיים והעכוז מזה חודשיים. בבדיקה: וזיקולות קטנות מקובצות על רקע אריתמטוזי. ביופסיה מראה שקיעת IgA תת-אפידרמית. מה הטיפו"
1,Oncologic Emergencies,Smear/Histopath,Harrison,1082,ביופסיה מראה,גבר בן 35 עם כיבי מעי דלקתיים מפתח גושים כואבים ואדומים בחזית השוקיים. הביופסיה מראה דלקת של המחיצות הבין-שומניות ללא וסקוליטיס. מהו האבחון הסביר ביותר?
1,Oncologic Emergencies,Smear/Histopath,Harrison,1084,ביופסיה מראה,חולה עם לוקמיה מיאלואידית חדה מפתח לוחיות אדמדמות מורמות כואבות בפנים ובצוואר עם נוטרופיליה היקפית. הביופסיה מראה אינפילטרציה דחוסה של נוטרופילים בדרמיס. מהו האבחון?
1,GI & Hepatology,CT/MRI,Harrison,1332,הדמיית MRI,מהי התגובה הנאותה ל-spinal cord compression אונקולוגי?
1,Heart Failure,ECG,2025-Jun,810,תרשים אק,"מה האתיולוגיה הסבירה ביותר לממצא בתרשים אק""ג זה (תמונה 7)?"
1,Hematology & Coagulation,Smear/Histopath,2023-Jun,462,צביעתH&E,מה הדרך הטובה והנפוצה ביותר לאשש אבחנה שלIgA vasculitis ?
1,Toxicology — Key Syndromes,Fundus/Eye,2021-Jun,177,פונדוסקופיה,"בת 20, בריאה בד""כ. מאושפזת בשל אי ספיקת כליות חדה וארתרלגיות. בבדיקתה לחץ דם 150/80 ממ""כ, ללא פריחות, ללא ממצאים מפרקיים. במעבדה המוגלובין גר'/ד""ל, שאר הספירה תקינה, קריאטינין 2.5 "
1,Critical Care & Shock,CXR,2025-Jun,742,צילום חזה מדגים,"בן 56, ברקע COPD. פונה למלר""ד בשל החמרה משמעותית בקוצר נשימה בשלושת הימים האחרונים. בבדיקתו: מתנשם, צפצופים אקספירטורים דיפוזיים ואקספיריום ארוך. צילום חזה מדגים היפראינפלציה ללא ת"
1,Infectious Disease — Core Principles,CT/MRI,Harrison,995,הדמיית CT,"גבר בן 45 עם יתר לחץ דם עמיד לטיפול למרות טיפול בשילוב של ACE inhibitor, CCB ו-thiazide במינונים מקסימליים. בדיקות מעבדה מראות: K+ 2.8 mEq/L, Na+ 145 mEq/L. מה הבדיקה הבאה המומלצת "
1,Pulmonology & VTE,Smear/Histopath,2025-Jun,827,ביופסיה מהושט המדגימה,איזה מההיגדים הבאים הכי נכון לגבי אבחנה שלeosinophilic esophagitis ?
1,Rheumatology & Vasculitis,Fundus/Eye,2024-Oct,663,פונדוס,איזה מבין המשפטים הבאים נכון לגבי בירור אתיולוגיה אפשרית במטופלים עם אי ספיקת כליות כרונית (CKD) ללא אתיולוגיה נראית לעין?
2,Pain Management & Palliative Care,Other imaging,2023-Jun,426,גסטרוסקופיה נמצא מראה,"בן 25, מתלונן על אירועי קושי בבליעת מוצקים, ללא ירידה במשקל. ברקע אסתמה. בגסטרוסקופיה נמצא מראה של טבעות בושט ללא היצרות, מעבר תקין לקיבה, קיבה ותריסריון תקינים. בביופסיות מהושט - "
